id,title,description,content_type,release_year,release_date,brands,franchises,genres,subgenres,seasons,people,places,settings,subjects,agents,cast,mediums,image_url,image
5b805f15-051c-45e3-a8f3-0a3d7325eba0,Hocus Pocus,"You're in for a devil of a time when three outlandishly wild witches---Bette Midler, Sarah Jessica Parker and Kathy Najimy---return from 17th-century Salem after they're accidentally conjured up by some unsuspecting pranksters. It's a night full of zany fun and comic chaos once the tricky 300-year-old trio set out to cast a spell on the town and reclaim their youth...but first they must get their act together and outwit three kids and a talking cat. Contains tobacco depictions.",movie,1993,7/15/93,disney,walt_disney_studios_live_action,"family,comedy,fantasy","supernatural_horror,fantasy_comedy,childrens_fantasy,zombie_comedy,childrens_comedy,dark_fantasy,comedy_horror,slapstick_comedy","halloween,autumn",,"thirteen_colonies,massachusetts",town,"hypnosis,salem_witch_trials,resurrection,witchcraft,satanism,supernatural,curses","witches,cats,siblings,zombies,sisters",,,"<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/EF15FFE0EC0F2DD77B653A85A7953BBCCED742AEA7636AD7EACC58ABE5AA3023/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>","<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/EF15FFE0EC0F2DD77B653A85A7953BBCCED742AEA7636AD7EACC58ABE5AA3023/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>"
dbe51a04-9611-4ea9-b64f-542f865974a2,Luca,"Set in a beautiful seaside town on the Italian Riviera, Disney and Pixar’s original feature film “Luca” is a coming-of-age story about one young boy experiencing an unforgettable summer filled with gelato, pasta and endless scooter rides. Luca (voice of Jacob Tremblay) shares these adventures with his newfound best friend, Alberto (voice of Jack Dylan Grazer), but all the fun is threatened by a deeply-held secret: they are sea monsters from another world just below the water’s surface. “Luca” is directed by Academy Award® nominee Enrico Casarosa (“La Luna”) and produced by Andrea Warren (“Lava,” “Cars 3”).",movie,2021,6/17/21,pixar,,"family,animation,coming_of_age,buddy,fantasy",teen_comedy,summer,,italy,"aquatic,town,beach",shapeshifting,"winners,mothers,teenagers,orphans,athletes,disabled_people,missing_persons,fathers,hunters,legendary_creatures,sea_monsters,sons,daughters,cyclists","gillespi,massimo_luccioli,silvia_ceriani,jorge_crespo,jorgelina_depetris_pochintesta,ignacio_daffunchio,germán_daffunchio,don_cordero",3d,"<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/EDEC457AE7C0869D89E4BFEAED0A61D73CB119233979179391C995BD9F3BCC33/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>","<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/EDEC457AE7C0869D89E4BFEAED0A61D73CB119233979179391C995BD9F3BCC33/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>"
34f7ce18-e6ff-4134-a43c-653856a3a4b6,Tim Burton’s The Nightmare Before Christmas,"Enter an extraordinary world filled with magic and wonder, where every holiday has its own special land. This is the heartfelt tale of Jack Skellington, the Pumpkin King of Halloween Town and all things that go bump in the night. Bored with the same old tricks and treats, he yearns for something more, and soon stumbles upon the glorious magic of Christmas Town. When Jack decides to bring this joyful holiday back to Halloween Town, his dream to fill Santa's shoes unravels, and it's up to Sally, the rag doll who loves him, to stitch things together again.",movie,1993,10/12/93,disney,,"musical,family,animation,fantasy","musical_fantasy,monster_movies,dark_fantasy,christmas_horror","halloween,christmas",santa_claus,,town,"witchcraft,parallel_universes,poems","mayors,monsters,lovers,spirit_beings,scientists","danny_elfman,pete_kozachik,joe_ranft,eric_leighton,kathleen_gavin,tim_burton,gregg_olsson,deane_taylor,david_hanks,henry_selick","3d,stop_motion_animation,clay_animation","<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/E1D5ACD352B111DC7D5F9B35D402FAB8E2BC73F57794D9EA5144C392B9A82705/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>","<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/E1D5ACD352B111DC7D5F9B35D402FAB8E2BC73F57794D9EA5144C392B9A82705/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>"
48834bae-d7b0-4d65-af96-8c618e0d3c12,Moana,"Three thousand years ago, the greatest sailors in the world voyaged across the vast Pacific, discovering the many islands of Oceania. But then, for a millennium, their voyages stopped — and no one knows why. From Walt Disney Animation Studios comes Moana, a sweeping film about an adventurous teenager who sails out on a daring mission to save her people. During her journey, Moana (Auliʻi Cravalho) meets the mighty demigod Maui (Dwayne Johnson), who guides her in her quest to become a master wayfinder. Together, they sail across the open ocean on an action-packed voyage, encountering enormous monsters and impossible odds. Along the way, Moana fulfills the ancient quest of her ancestors and discovers the one thing she’s always sought: her own identity. Some flashing lights sequences or patterns may affect photosensitive viewers.",movie,2016,11/23/16,disney,"walt_disney_animation_studios,disney_princess","family,animation,adventure,musical,actionadventure,fantasy","adventure_comedy,musical_fantasy,sea_adventure,fantasy_adventure",,,polynesia,"aquatic,island","seafaring,polynesian_mythology,shapeshifting","demons,female_antagonists,grandparents,princesses,deities,fathers,daughters,rulers","oscar_kightley,nicole_scherzinger,aulii_cravalho,alan_tudyk,rachel_house,jemaine_clement,dwayne_johnson,troy_polamalu,puanani_cravalho,temuera_morrison",3d,"<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/BAB19FC8522B7957344B4B4B0DE2D789492AE586A93A0CE39F11B139654470EC/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>","<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/BAB19FC8522B7957344B4B4B0DE2D789492AE586A93A0CE39F11B139654470EC/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>"
d19725bd-03fd-410a-967e-a8eff3434f35,Mickey Mouse Clubhouse,"Mickey entertains a new generation of preschoolers for the first time by inviting them to join him and his favorite friends (Goofy, Donald, Minnie, Daisy & Pluto) for a date at the Clubhouse. Using early math learning and problem solving skills, he leads kids on an interactive adventure of learning and fun.",series,2009,2/7/09,disney,"mickey_friends,disney_junior","animation,kids,adventure",,,,,rural,"educational,preschool","birds,animals,dogs,teachers,teams,mice","tress_macneille,jim_cummings,wayne_allwine,corey_burton,april_winchell,bill_farmer,tony_anselmo,rob_paulsen,russi_taylor,bret_iwan",spin_off,"<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/771F268C5E0AF1B51120240C5A4341472C95DB7889A03105C33A9C22EAC1E040/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>","<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/771F268C5E0AF1B51120240C5A4341472C95DB7889A03105C33A9C22EAC1E040/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>"
c454df44-18b3-4110-9959-5a998d8e553f,Bluey,"This funny and honest look at modern family life celebrates how imaginative play helps shape healthy children. Australian blue heeler puppy Bluey has a boundless imagination and loves to turn daily life into playful adventures. She and little sister Bingo throw themselves into exploring their world, using gameplay to conquer their fears and try out adult roles. And they like nothing more than pulling their parents – particularly Dad – into their fun and games. Mum Chilli’s gone back to work and Dad Bandit juggles childcare with working from home. But though he might think he’s in charge, the girls are definitely calling the shots when it comes to playtime – and pretty much everything else!",series,2018,10/15/18,disney,disney_junior,"animation,kids",,,,,suburban,"mass_media,preschool_education,family","baby_animals,animals,working_classes,dogs,families,parents,children,sisters","peter_aanensen,steve_millichamp,gerda_nicolson,billie_hammerberg,terry_gill,victoria_quilter,mercia_deanejohns,john_diedrich,ken_goodlet,lucky_grills",,"<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/256AC39026C1934B507C63E1EB5B19602562C946FBA63CA98E7611CD8F787A99/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>","<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/256AC39026C1934B507C63E1EB5B19602562C946FBA63CA98E7611CD8F787A99/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>"
ec6469d0-aff9-41af-97cc-40219b430957,Coco,"In Disney•Pixar’s vibrant tale of family, fun and adventure, an aspiring young musician named Miguel (Anthony Gonzalez) embarks on an extraordinary journey to the magical land of his ancestors. There, the charming trickster Héctor (Gael García Bernal) becomes an unexpected friend who helps Miguel uncover the mysteries behind his family’s stories and traditions.",movie,2017,10/27/17,pixar,,"family,animation,adventure,music,fantasy","adventure_comedy,fantasy_comedy,childrens_fantasy,comedy_drama",day_of_the_dead,frida_kahlo,mexico,"city,town","mexican_culture,music,death,religion,old_age,the_afterlife,family,spirituality","guitarists,grandparents,lyricists,families,ghosts,children,fathers,singers,spirit_beings,musicians,sons","alfonso_arau,herbert_siguenza,jaime_camil,benjamin_bratt,anthony_gonzalez,alanna_ubach,gabriel_iglesias,renee_victor,lombardo_boyar,gael_garcía_bernal",3d,"<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/3245D3479BEA514BFFCBD71E22E2DC8B7E4613F7055837AC892A47F747CC9DB5/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>","<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/3245D3479BEA514BFFCBD71E22E2DC8B7E4613F7055837AC892A47F747CC9DB5/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>"
264be8d4-6716-4df7-b023-04a56b639bc9,Nona,"A grandmother, Nona, plans to spend her day off by shutting out the world to watch her favorite TV show, E.W.W. Smashdown Wrestling. However, when her 5-year-old granddaughter Renee is unexpectedly dropped off, Nona is caught between her two favorite things.",short-form,2021,,pixar,sparkshorts,"family,animation,comedy",,,,,,"sports,family","animals,grandparents,dogs,fans,athletes,pets,widows",,,"<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/C1CE07600E506CAA50C8B8460C63F2C8D71330E38DC991C5403DA776A93EBBAD/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>","<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/C1CE07600E506CAA50C8B8460C63F2C8D71330E38DC991C5403DA776A93EBBAD/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>"
021c17a2-32ec-4892-82ad-54283970b59a,Frozen,"Fearless optimist Anna teams up with rugged mountain man Kristoff and his loyal reindeer Sven in an epic journey to find Anna's sister Elsa, whose icy powers have trapped the kingdom of Arendelle in eternal winter.  Encountering Everest-like conditions, mystical trolls and a hilarious snowman named Olaf, will the trio find Elsa in time to save Arendelle?",movie,2013,11/22/13,disney,"frozen,walt_disney_animation_studios","family,animation,kids,musical,fantasy",musical_fantasy,winter,,scandinavia,"kingdom,wilderness","royalty,family,curses","trolls,deers,princesses,snowmen,lovers,guides,queens,sisters","ralf_little,roshan_seth,rebecca_palmer,richard_armitage,jamie_sives,lyndsey_marshal,shirley_henderson,ger_ryan,shireen_shah,sean_harris",3d,"<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/9540320F8E1E69936668F14601C435E14CC5B77D1520B68A939225B953EE06FF/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>","<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/9540320F8E1E69936668F14601C435E14CC5B77D1520B68A939225B953EE06FF/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>"
0ea2e997-bc0a-4344-93b6-0cb8ac42235a,Frozen 2,"Why was Elsa born with magical powers? What truths about the past await Elsa as she ventures into the unknown to the enchanted forests and dark seas beyond Arendelle? The answers are calling her but also threatening her kingdom. Together with Anna, Kristoff, Olaf and Sven, she'll face a dangerous but remarkable journey. In Frozen, Elsa feared her powers were too much for the world. In Frozen 2, she must hope they are enough.",movie,2019,11/20/19,disney,"frozen,walt_disney_animation_studios","family,animation,musical,actionadventure,fantasy",,winter,,scandinavia,"kingdom,wilderness",,"trolls,deers,couples,princesses,monsters,snowmen,indigenous_people,spirit_beings,queens,sisters","ralf_little,roshan_seth,rebecca_palmer,richard_armitage,jamie_sives,lyndsey_marshal,shirley_henderson,ger_ryan,shireen_shah,sean_harris",sequels,"<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/B6C8E16A6C92B557F5B1E27F80E4CA2A591DDB0BD21B5FED804319F13DDCFC6A/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>","<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/B6C8E16A6C92B557F5B1E27F80E4CA2A591DDB0BD21B5FED804319F13DDCFC6A/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>"
7a711961-c749-49e5-affa-55659a6206bf,Raya and the Last Dragon,"Walt Disney Animation Studios’ ""Raya and the Last Dragon"" travels to the fantasy world of Kumandra, where humans and dragons lived together in harmony long ago. But when an evil force threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, that same evil has returned and it’s up to a lone warrior, Raya, to track down the legendary last dragon to restore the fractured land and its divided people. However, along her journey, she’ll learn that it’ll take more than a dragon to save the world—it’s going to take trust and teamwork as well. ""Raya and the Last Dragon"" features the voices of Kelly Marie Tran as Raya, a warrior whose wit is as sharp as her blade, and Awkwafina as the magical, mythical, self-deprecating dragon named Sisu. Characters also include a street-savvy 10-year-old entrepreneur named Boun, the formidable giant Tong and a thieving toddler Noi with her band of Ongis. Some flashing lights sequences or patterns may affect photosensitive viewers.",movie,2021,3/3/21,disney,walt_disney_animation_studios,"family,animation,fantasy,actionadventure",anime_western,,,asia,kingdom,"friendship,shapeshifting","mothers,animals,rulers,thieves,infants,princesses,orphans,cooks,fathers,warriors,spirit_beings,daughters,dragons","izaac_wang,sandra_oh,thalia_tran,jona_xiao,lucille_soong,awkwafina,benedict_wong,kelly_marie_tran,gemma_chan,daniel_dae_kim",,"<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/C28A458F3748A9550DA296E86458D6BE2CAA3D0483EDBB88013A1984F3D53CC7/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>","<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/C28A458F3748A9550DA296E86458D6BE2CAA3D0483EDBB88013A1984F3D53CC7/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>"
6c387b80-14c7-4e7d-897d-a6533228b4fe,Halloweentown,"This comedy-adventure follows Marnie and her younger siblings as they follow their estranged grandmother—a good witch (Debbie Reynolds)—to her home in Halloweentown, where witches, goblins, vampires and the like lead very normal lives. On her 13th birthday, Marnie learns that she comes from a witch family and that she, too, is a witch. When she discovers that an evil force is plotting to take over Halloweentown, she must help her mother and grandmother save the day.",movie,1998,10/17/98,disney,disney_channel,"comedy,fantasy,actionadventure,coming_of_age",monster_movies,"halloween,autumn",,,"suburban,town","witchcraft,family","demons,mothers,grandparents,witches,monsters,sons,daughters","judith_hoag,joey_zimmerman,phillip_van_dyke,emily_roeske,debbie_reynolds,shannon_day,jordyn_f_fields,jw_crawford,robin_thomas,kimberly_j_brown",,"<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/EFFF0C9812835944D747B0456A3B91635ED05109647E7574422F34BF5C11C0E0/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>","<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/EFFF0C9812835944D747B0456A3B91635ED05109647E7574422F34BF5C11C0E0/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>"
c2058b15-8ffc-4b7b-9ebe-eba98d2eeb75,"Doogie Kamealoha, M.D.","In “Doogie Kamealoha, M.D.,” 16-year-old prodigy Dr. Lahela “Doogie” Kamealoha juggles a budding medical career with the daily challenges of teenage life. At the hospital, Lahela’s genius confounds both patients and colleagues, who dub her “Doogie” after the ‘90s TV series “Doogie Howser, M.D.” At home, her doting dad, Benny, and her career-driven mom, Clara, the hospital’s Chief of Medicine and Lahela’s boss, fear she’s growing up too fast.   Lahela struggles to operate in two very different worlds and stay balanced. Fortunately, her free-spirited older brother Kai and idiosyncratic younger brother Brian Patrick help keep her grounded. Steph, her wisecracking best friend, can always be counted on to lighten the mood, frequently climbing through Lahela’s bedroom window to costar in TikTok videos or dish on Lahela’s crush, Walter. Fellow medical residents Noelani and Charles, as well as hot-shot heart surgeon Dr. Lee, joke about the obvious gap in age and interests, but genuinely respect Lahela’s expertise.    With support from her caring — and comical — ohana (family and friends), Lahela is determined to make the most of her teenage years and forge her own path.",series,2021,9/8/21,disney,,"family,comedy,medical,coming_of_age",,,,hawaii,island,"medical,family","teenagers,doctors,parents,daughters","matthew_sato,wes_tian,ronny_chieng,kathleen_rose_perkins,alex_aiono,peyton_elizabeth_lee,jeffrey_bowyerchapman,emma_meisel,mapuana_makia,jason_scott_lee",,"<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/3B29075F5E6CDA5D26F2F27A7B5B785F9F1BCE557B8D199B0FFF957EFD3E4332/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>","<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/3B29075F5E6CDA5D26F2F27A7B5B785F9F1BCE557B8D199B0FFF957EFD3E4332/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>"
9c3fa13a-8a12-4f0a-a164-e9a39d79eecd,Dug Days,"Pixar Animation Studios’ “Dug Days” is a series of shorts that follows the humorous misadventures of Dug, the lovable dog from Disney and Pixar’s “Up.” Each short features everyday events that occur in and around Dug's backyard, all through the exciting (and slightly distorted) eyes of our favorite talking dog. Written and directed by Academy Award® nominee and Emmy® Award winner Bob Peterson and produced by Kim Collins.",series,2021,9/1/21,pixar,,"family,animation,comedy",,,,,suburban,,"dogs,pets,animals","bob_peterson,sarayu_blue,heather_eisner,ed_asner,jordan_nagai,moon_choe,simon_helberg,neketia_henry,jeff_pidgeon",,"<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/40727AFC4CAA1262931E79156F56E1FC141F95A47E4408124F66AD7EDAC2F52E/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>","<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/40727AFC4CAA1262931E79156F56E1FC141F95A47E4408124F66AD7EDAC2F52E/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>"
8832c779-5d8b-4c37-8207-654e0dbd95af,Zootopia,"Walt Disney Animation Studios presents a heartwarming comedy-adventure set in the modern mammal metropolis of Zootopia. With habitat neighborhoods like ritzy Sahara Square and frigid Tundratown, it’s a melting pot where animals from every environment live together—a place where no matter what you are, from the biggest elephant to the smallest shrew, you can be anything. But when optimistic Officer Judy Hopps arrives, she discovers that being the first bunny on a police force of big, tough animals isn’t so easy. Determined to prove herself, she jumps at the opportunity to crack a case, even if it means partnering with fast-talking, scam-artist fox Nick Wilde to solve the mystery. Some flashing lights sequences or patterns may affect photosensitive viewers.",movie,2016,2/10/16,disney,walt_disney_animation_studios,"family,animation,comedy,adventure,policecop","adventure_comedy,buddy_comedy,crime_comedy,police_procedural,buddy_cop,police_comedy",,,,city,"prejudice,fear,utopia","criminals,detectives,farmers,animals,female_antagonists,sheep,foxes,police_chiefs,rabbits,scientists","idris_elba,ginnifer_goodwin,tommy_chong,nate_torrence,don_lake,octavia_spencer,jason_bateman,bonnie_hunt,jk_simmons,jenny_slate",3d,"<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/45CBC2B907274B287B3C53233B15E259B83073C7BB297D10432F73E79F9430A1/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>","<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/45CBC2B907274B287B3C53233B15E259B83073C7BB297D10432F73E79F9430A1/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>"
123e016f-3689-4e5c-a35f-e6cff593e5c4,Cars,"Hotshot race car Lightning McQueen (Owen Wilson) is living life in the fast lane...until he hits a detour and gets stranded in Radiator Springs, a forgotten town on Route 66. There he meets Sally, Mater, Doc Hudson (Paul Newman) and a heap of hilarious characters who help him discover there's more to life than trophies and fame.",movie,2006,6/8/06,pixar,cars,"family,animation,sports,comedy","buddy_comedy,childrens_comedy,sports_comedy,road_movies",,,california,"desert,town","sports,automobiles","sheriffs,prisoners,athletes,automobiles,racecar_drivers,celebrities","owen_wilson,jenifer_lewis,paul_newman,paul_dooley,michael_wallis,cheech_marin,tony_shalhoub,guido_quaroni,larry_the_cable_guy,bonnie_hunt",,"<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/241D1D5E5FF72013ED4694A542B18FCA54ABA7F0C633C5AC56A4BAF741D45CAD/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>","<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/241D1D5E5FF72013ED4694A542B18FCA54ABA7F0C633C5AC56A4BAF741D45CAD/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>"
e0c96db1-a806-4b1c-a8cd-4d3274b0800d,Spidey And His Amazing Friends,"Spidey, our favorite web-slinger is teaming up with Ghost-Spider (Gwen Stacey) and Miles Morales to make up The Spidey Team, with some assistance from Spidey’s comical but loyal Spider-bot, TRACE-E. If Spidey finds himself  in a sticky situation that needs even more super-hero power, rest assured that an Avenger pal will race in to help out. Whether it’s just The Spidey Team or adding an Avenger for the assist, these superheroes will work together to save the day!",series,2021,8/13/21,marvel,spiderman,"animation,kids,adventure,actionadventure,action,superhero",,,,,city,preschool,"criminals,mothers,neighbors,auntuncles,superheroes,scientists,sons","tru_valentino,nicolas_roye,lily_sanfelippo,dee_bradley_baker,jp_karliak,kelly_ohanian,jakari_fraser,justin_shenkarow,melanie_minichino,benjamin_valic",,"<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/52081965ECB47BE9268DAB12B725E9F1E964511CB96252A47E4A2C2F312BEE08/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>","<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/52081965ECB47BE9268DAB12B725E9F1E964511CB96252A47E4A2C2F312BEE08/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>"
