x,y,title,image,cluster
20.012497,16.595308,Hocus Pocus,"<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/EF15FFE0EC0F2DD77B653A85A7953BBCCED742AEA7636AD7EACC58ABE5AA3023/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>",4
-7.329143,-9.543051,Luca,"<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/EDEC457AE7C0869D89E4BFEAED0A61D73CB119233979179391C995BD9F3BCC33/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>",1
16.139307,21.445017,Tim Burton’s The Nightmare Before Christmas,"<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/E1D5ACD352B111DC7D5F9B35D402FAB8E2BC73F57794D9EA5144C392B9A82705/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>",4
-1.8718393,19.765722,Moana,"<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/BAB19FC8522B7957344B4B4B0DE2D789492AE586A93A0CE39F11B139654470EC/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>",9
-26.29038,9.941348,Mickey Mouse Clubhouse,"<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/771F268C5E0AF1B51120240C5A4341472C95DB7889A03105C33A9C22EAC1E040/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>",11
-25.059076,5.082969,Bluey,"<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/256AC39026C1934B507C63E1EB5B19602562C946FBA63CA98E7611CD8F787A99/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>",11
-8.640124,-2.9469378,Coco,"<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/3245D3479BEA514BFFCBD71E22E2DC8B7E4613F7055837AC892A47F747CC9DB5/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>",1
-15.704943,-2.6534185,Nona,"<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/C1CE07600E506CAA50C8B8460C63F2C8D71330E38DC991C5403DA776A93EBBAD/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>",1
-1.4070067,12.097249,Frozen,"<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/9540320F8E1E69936668F14601C435E14CC5B77D1520B68A939225B953EE06FF/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>",9
-1.4627407,11.795627,Frozen 2,"<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/B6C8E16A6C92B557F5B1E27F80E4CA2A591DDB0BD21B5FED804319F13DDCFC6A/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>",9
-3.8995,16.100864,Raya and the Last Dragon,"<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/C28A458F3748A9550DA296E86458D6BE2CAA3D0483EDBB88013A1984F3D53CC7/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>",9
17.478636,18.88379,Halloweentown,"<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/EFFF0C9812835944D747B0456A3B91635ED05109647E7574422F34BF5C11C0E0/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>",4
18.501215,-5.5428796,"Doogie Kamealoha, M.D.","<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/3B29075F5E6CDA5D26F2F27A7B5B785F9F1BCE557B8D199B0FFF957EFD3E4332/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>",6
-15.573355,-3.2250712,Dug Days,"<img src=""https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/40727AFC4CAA1262931E79156F56E1FC141F95A47E4408124F66AD7EDAC2F52E/scale?width=130&faspectRatio=1.0&format=jpeg"" style=max-height:240px;max-width:130px;""/>",1
